# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-01-23T14:30
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
111.0,101.0,120.0,122.0,NaN
101.0,91.0,174.0,177.0,NaN
91.0,81.0,184.0,219.0,211.0
81.0,71.0,223.0,219.0,NaN
71.0,61.0,262.0,247.0,NaN
61.0,51.0,281.0,284.0,NaN
51.0,41.0,314.0,310.0,NaN
41.0,31.0,305.0,294.0,NaN
31.0,21.0,306.0,325.0,NaN
21.0,11.0,290.0,315.0,348.0
19.0,9.0,292.0,NaN,NaN
