# Location,NW
# Site,FS
# PitID,2
# Date/Local Time,2020-01-22T14:25
# UTM Zone,13N
# Easting (m),452485
# Northing (m),4432379
# Latitude (deg),40.0403
# Longitude (deg),-105.55697
# Slope (deg),7
# Aspect (deg),N
# Air Temp (deg C),-7.5
# Total Depth (cm),77
# Surveyors,"ER, MR"
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Strong
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,Open (20-70%)
# Comments:,nan
