# Location,NW
# Site,OF
# PitID,3
# Date/Local Time,2020-02-12T12:54
# UTM Zone,13N
# Easting (m),452888
# Northing (m),4431886
# Latitude (deg),40.03588
# Longitude (deg),-105.55221
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-7.4
# Total Depth (cm),74
# Surveyors,"AK, ER"
# Weather,Snowing
# Precip,Moderate
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Grass,Shrub"
# Vegetation Depth,20
# Tree Canopy,Open (20-70%)
# Comments:,Elev: 3091              016
