# Location,CB
# Site,O2
# PitID,1
# Date/Local Time,2020-02-26T10:18
# UTM Zone,13N
# Easting,328484
# Northing,4310498
# Latitude,38.92665
# Longitude,-106.97862
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
121.0,111.0,133.0,129.0,NaN
111.0,101.0,220.0,209.0,NaN
101.0,91.0,218.0,252.0,NaN
91.0,81.0,267.0,270.0,NaN
81.0,71.0,289.0,311.0,NaN
71.0,61.0,318.0,322.0,NaN
61.0,51.0,281.0,288.0,NaN
51.0,41.0,282.0,283.0,NaN
41.0,31.0,325.0,322.0,NaN
31.0,21.0,321.0,313.0,NaN
21.0,11.0,333.0,335.0,NaN
