# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-01-16T11:00
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
100.0,90.0,172.0,173.0,NaN
90.0,80.0,188.0,188.0,NaN
80.0,70.0,170.0,161.0,NaN
70.0,60.0,191.0,192.0,NaN
60.0,50.0,235.0,226.0,NaN
50.0,40.0,245.0,248.0,NaN
40.0,30.0,256.0,279.0,NaN
30.0,20.0,257.0,271.0,NaN
20.0,10.0,314.0,323.0,NaN
10.0,0.0,342.0,335.0,NaN
