# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-03-04T11:16
# UTM Zone,13N
# Easting (m),361740
# Northing (m),3972675
# Latitude (deg),35.88859
# Longitude (deg),-106.53184
# Slope (deg),3
# Aspect (deg),68
# Air Temp (deg C),5.8
# Total Depth (cm),81.5
# Surveyors,A. Rice
# WISe Serial No,nan
# Weather,"Clear, calm, sunny and warm IB: no new snow"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,1-4
# Tree Canopy,No Trees
# Comments:,nan
