# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-03-04T11:16
# UTM Zone,13N
# Easting,361740
# Northing,3972675
# Latitude,35.88859
# Longitude,-106.53184
# Depth (cm),Temperature (deg C)
82.0,0.0
72.0,-0.5
62.0,-2.8
52.0,-2.9
42.0,-2.3
32.0,-1.7
22.0,-1.2
12.0,-0.7
2.0,-0.2
0.0,0.0
