# Location,CB
# Site,O6
# PitID,2
# Date/Local Time,2020-02-26T14:58
# UTM Zone,13N
# Easting,328380
# Northing,4310499
# Latitude,38.92664
# Longitude,-106.97982
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
130.0,120.0,143.0,125.0,NaN
120.0,110.0,218.0,226.0,NaN
110.0,100.0,242.0,235.0,NaN
100.0,90.0,266.0,265.0,NaN
90.0,80.0,259.0,259.0,NaN
80.0,70.0,306.0,308.0,NaN
70.0,60.0,306.0,307.0,NaN
60.0,50.0,276.0,279.0,NaN
50.0,40.0,294.0,294.0,NaN
40.0,30.0,327.0,326.0,NaN
30.0,20.0,289.0,310.0,293.0
