# Location,CB
# Site,O6
# PitID,2
# Date/Local Time,2020-02-26T14:58
# UTM Zone,13N
# Easting (m),328380
# Northing (m),4310499
# Latitude (deg),38.92664
# Longitude (deg),-106.97982
# Slope (deg),0
# Aspect (deg),S
# Air Temp (deg C),-5
# Total Depth (cm),130
# Surveyors,"LH, ER"
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,30
# Tree Canopy,Open (20-70%)
# Comments:,Tare 791g
