# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-06T13:00
# UTM Zone,11N
# Easting (m),640699
# Northing (m),4907213
# Latitude (deg),44.30455
# Longitude (deg),-115.23604
# Slope (deg),3
# Aspect (deg),NaN
# Air Temp (deg C),-0.3
# Total Depth (cm),132
# Surveyors,"I. Brangers, T. Otheim"
# WISe Serial No,nan
# Weather,light melting snow; precip=Snow.
# Precip,Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,No Trees
# Comments:,Density 12-2cm: sample has a hole.
