# Location,Boise River Basin
# Site,Banner Open
# PitID,IDBRBO
# Date/Local Time,2020-02-06T13:00
# UTM Zone,11N
# Easting,640699
# Northing,4907213
# Latitude,44.30455
# Longitude,-115.23604
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
132.0,122.0,89.0,NaN,NaN,NaN,NaN
122.0,112.0,118.0,NaN,NaN,NaN,NaN
112.0,102.0,175.33333333333334,NaN,NaN,NaN,NaN
102.0,92.0,189.5,NaN,NaN,NaN,NaN
92.0,82.0,213.0,NaN,NaN,NaN,NaN
82.0,72.0,264.5,NaN,NaN,NaN,NaN
72.0,62.0,293.5,NaN,NaN,NaN,NaN
62.0,52.0,316.0,NaN,NaN,NaN,NaN
52.0,42.0,339.5,NaN,NaN,NaN,NaN
42.0,32.0,342.5,NaN,NaN,NaN,NaN
32.0,22.0,322.0,NaN,NaN,NaN,NaN
22.0,12.0,311.0,NaN,NaN,NaN,NaN
12.0,2.0,330.0,NaN,NaN,NaN,NaN
