# Location,Fraser
# Site,JPL #1
# PitID,COFEJ1
# Date/Local Time,2020-03-11T10:15
# UTM Zone,13N
# Easting,424539
# Northing,4417649
# Latitude,39.90557
# Longitude,-105.88281
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
102.0,100.0,< 1 mm,DF,F,D,NaN
100.0,97.0,< 1 mm,MFCR,I,D,NaN
97.0,81.0,< 1 mm,FC,F,D,NaN
81.0,67.0,< 1 mm,FC,P,D,NaN
67.0,65.0,[],IF,I,D,NaN
65.0,55.0,1-2 mm,FC,1F,D,NaN
55.0,19.0,2-4 mm,FC,F,D,NaN
19.0,15.0,2-4 mm,MFCR,P,D,NaN
15.0,0.0,4-6 mm,FC,P,D,NaN
