# Location,CB
# Site,Aspen
# PitID,2
# Date/Local Time,2020-02-26T16:00
# UTM Zone,13N
# Easting (m),329127
# Northing (m),4310338
# Latitude (deg),38.92533
# Longitude (deg),-106.97116
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),NaN
# Total Depth (cm),107
# Surveyors,ES
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,Closed (>70%)
# Comments:,nan
