# Location,East River
# Site,Irwin Barn
# PitID,COERIB
# Date/Local Time,2020-05-06T12:32
# UTM Zone,13N
# Easting,317172
# Northing,4306473
# Latitude,38.88812
# Longitude,-107.10796
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
153.0,152.0,2-4 mm,MF,F,W,NaN
152.0,151.0,[],IF,K,[],NaN
151.0,148.0,2-4 mm,MF,4F,W,NaN
148.0,147.0,[],IF,K,[],NaN
147.0,113.0,1-2 mm,RG,1F,W,1F+
113.0,110.0,1-2 mm,MF,P,V,"liquid water present, maybe old ice lense, grains melted together"
110.0,70.0,1-2 mm,RG,1F,M,"some aggragates >1-2mm, melt obvious"
70.0,15.0,2-4 mm,RG,4F,W,NaN
15.0,0.0,[],RG,1F,M,"rounding depth hoar, 1F+"
