# Location,CB
# Site,O4
# PitID,3
# Date/Local Time,2020-02-01T12:15
# UTM Zone,13N
# Easting,328422
# Northing,4310469
# Latitude,38.92638
# Longitude,-106.97933
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
101.0,91.0,215.0,202.0,NaN
91.0,81.0,266.0,299.0,250.0
81.0,71.0,329.0,290.0,NaN
71.0,61.0,310.0,261.0,314.0
61.0,51.0,291.0,323.0,333.0
51.0,41.0,348.0,334.0,NaN
41.0,31.0,383.0,419.0,345.0
31.0,21.0,335.0,355.0,NaN
21.0,11.0,383.0,340.0,400.0
11.0,1.0,NaN,NaN,NaN
