# Location,Niwot Ridge
# Site,C1
# PitID,CONWC1
# Date/Local Time,2020-02-05T10:20
# UTM Zone,13N
# Easting (m),453402
# Northing (m),4431582
# Latitude (deg),40.03317
# Longitude (deg),-105.54616
# Slope (deg),0
# Aspect (deg),90
# Air Temp (deg C),-25
# Total Depth (cm),65
# Surveyors,K. Hale
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,3
# Tree Canopy,Open (20-70%)
# Comments:,nan
