# Location,CB
# Site,F12
# PitID,3
# Date/Local Time,2020-04-28T14:45
# UTM Zone,13N
# Easting,328528
# Northing,4310844
# Latitude,38.92977
# Longitude,-106.9782
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
100.0,90.0,357.0,382.0,NaN
90.0,80.0,363.0,371.0,NaN
80.0,70.0,361.0,369.0,NaN
70.0,60.0,357.0,416.0,397.0
60.0,50.0,356.0,358.0,NaN
50.0,40.0,325.0,321.0,NaN
40.0,30.0,340.0,356.0,NaN
30.0,20.0,360.0,358.0,NaN
20.0,10.0,337.0,350.0,NaN
10.0,0.0,348.0,344.0,NaN
