# Location,Fraser
# Site,SNB #2
# PitID,COFEB2
# Date/Local Time,2020-02-05T14:19
# UTM Zone,13N
# Easting (m),424863
# Northing (m),4417808
# Latitude (deg),39.90703
# Longitude (deg),-105.87904
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-14
# Total Depth (cm),91
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,precip = snow
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,nan
