# Location,NW
# Site,FN
# PitID,1
# Date/Local Time,2020-05-13T10:00
# UTM Zone,13N
# Easting,452712
# Northing,4431637
# Latitude,40.03363
# Longitude,-105.55426
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
118.0,108.0,360.0,408.0,311.0
108.0,98.0,311.0,312.0,NaN
98.0,88.0,377.0,372.0,NaN
88.0,78.0,388.0,390.0,NaN
78.0,68.0,407.0,390.0,NaN
68.0,58.0,387.0,407.0,NaN
58.0,48.0,351.0,342.0,NaN
48.0,38.0,327.0,328.0,NaN
38.0,28.0,345.0,338.0,NaN
28.0,18.0,345.0,340.0,NaN
