# Location,NW
# Site,FN
# PitID,1
# Date/Local Time,2020-05-13T10:00
# UTM Zone,13N
# Easting (m),452712
# Northing (m),4431637
# Latitude (deg),40.03363
# Longitude (deg),-105.55426
# Slope (deg),5
# Aspect (deg),NaN
# Air Temp (deg C),0
# Total Depth (cm),118
# Surveyors,ER
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Saturated
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,nan
