# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-03-21T12:55
# UTM Zone,12N
# Easting,754171
# Northing,4325869
# Latitude,39.04494
# Longitude,-108.06313
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
102.0,79.0,1-2 mm,PP,F,D,New snow
79.0,73.0,< 1 mm,RG,1F,D,Melt/freeze crust @ 79 (1-2 cm)
73.0,70.0,1-2 mm,RG,4F,D,"Melt/freeze crust throughout, but not cohesive."
70.0,59.0,1-2 mm,RG,P,D,Lots of pipes and lenses.
59.0,51.0,< 1 mm,RG,F,D,NaN
51.0,31.0,1-2 mm,FC,4F,D,NaN
31.0,19.0,2-4 mm,FC,F,D,~2 mm 
19.0,14.0,2-4 mm,FC,1F,D,~2 mm
14.0,0.0,2-4 mm,FC,4F,D,~4 mm
