# Location,Mammoth Lakes
# Site,Panorama Dome
# PitID,CAMLPD
# Date/Local Time,2020-02-19T10:15
# UTM Zone,11N
# Easting,323468
# Northing,4165496
# Latitude,37.61964
# Longitude,-119.00028
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
96.0,86.0,NaN,NaN,NaN
90.0,80.0,407.0,410.0,NaN
80.0,70.0,422.0,450.0,NaN
70.0,60.0,405.0,413.0,NaN
60.0,50.0,398.0,413.0,NaN
50.0,40.0,400.0,400.0,NaN
40.0,30.0,412.0,416.0,NaN
30.0,20.0,416.0,412.0,NaN
20.0,10.0,450.0,411.0,NaN
10.0,0.0,NaN,NaN,NaN
