# Location,NW
# Site,FF
# PitID,1
# Date/Local Time,2020-05-13T09:55
# UTM Zone,13N
# Easting (m),453353
# Northing (m),4431394
# Latitude (deg),40.03148
# Longitude (deg),-105.54673
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),1.2
# Total Depth (cm),94
# Surveyors,MR
# Weather,"pleasant, slightly cool in forest"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Light
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,Open (20-70%)
# Comments:,nan
