# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2019-12-19T16:00
# UTM Zone,12N
# Easting (m),754270
# Northing (m),4325785
# Latitude (deg),39.04415
# Longitude (deg),-108.06202
# Slope (deg),3
# Aspect (deg),0
# Air Temp (deg C),NaN
# Total Depth (cm),57
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Clear, some clouds in south, calm"
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,10
# Tree Canopy,No Trees
# Comments:,nan
