# Location,Fraser
# Site,SNB #2
# PitID,COFEB2
# Date/Local Time,2020-02-12T11:20
# UTM Zone,13N
# Easting (m),424863
# Northing (m),4417808
# Latitude (deg),39.90703
# Longitude (deg),-105.87904
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-6.5
# Total Depth (cm),110
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,breaks in clouds to the north
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Shrub
# Vegetation Depth,31
# Tree Canopy,Open (20-70%)
# Comments:,Widespread collapsing and and shooting cracks in valley
