# Location,Senator Beck
# Site,Swamp Angel
# PitID,COSBSA
# Date/Local Time,2020-03-11T12:25
# UTM Zone,13N
# Easting,261641
# Northing,4198978
# Latitude,37.90714
# Longitude,-107.71121
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
166.0,156.0,163.0,152.0,NaN
156.0,146.0,277.0,252.0,NaN
146.0,136.0,271.0,272.0,NaN
136.0,126.0,330.0,334.0,NaN
126.0,116.0,350.0,342.0,NaN
116.0,106.0,326.0,326.0,NaN
106.0,96.0,360.0,370.0,NaN
96.0,86.0,362.0,354.0,NaN
86.0,76.0,375.0,367.0,NaN
76.0,66.0,377.0,367.0,NaN
66.0,56.0,364.0,369.0,NaN
56.0,46.0,367.0,374.0,NaN
46.0,36.0,405.0,399.0,NaN
36.0,26.0,423.0,414.0,NaN
26.0,16.0,396.0,369.0,NaN
16.0,6.0,393.0,342.0,NaN
