# Location,CB
# Site,Upper
# PitID,1
# Date/Local Time,2020-05-12T09:00
# UTM Zone,13N
# Easting (m),327514
# Northing (m),4311256
# Latitude (deg),38.93329
# Longitude (deg),-106.98999
# Slope (deg),2
# Aspect (deg),23
# Air Temp (deg C),4
# Total Depth (cm),90
# Surveyors,IH
# Weather,Mtn fog clearing. Trees dropping slush/water from last nights storm
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,Open (20-70%)
# Comments:,"Elev 11,133"
