# Location,NW
# Site,FS
# PitID,2
# Date/Local Time,2020-02-12T11:08
# UTM Zone,13N
# Easting,452480
# Northing,4432343
# Latitude,40.03998
# Longitude,-105.55703
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
128.0,118.0,127.0,115.0,NaN
118.0,108.0,124.0,128.0,NaN
108.0,98.0,166.0,173.0,NaN
98.0,88.0,162.0,171.0,NaN
88.0,78.0,233.0,236.0,NaN
78.0,68.0,274.0,275.0,NaN
68.0,58.0,276.0,265.0,NaN
58.0,48.0,290.0,299.0,NaN
48.0,38.0,343.0,367.0,378.0
38.0,28.0,352.0,322.0,340.0
28.0,18.0,317.0,285.0,316.0
18.0,8.0,287.0,289.0,NaN
