# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-01-23T11:00
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
115.0,97.0,1-2 mm,DF,F,M,NaN
97.0,82.0,1-2 mm,DF,4F,D,"majority 1 mm, none 2 mm"
82.0,71.0,1-2 mm,RG,1F,D,NaN
71.0,44.0,1-2 mm,RG,1F,D,"harder than above, but not yet pencil hardness"
44.0,23.0,1-2 mm,RG,1F,D,"softer than layer above
more 2 mm than 1 mm in size"
23.0,8.0,1-2 mm,RG,1F,D,"grains feel coarser
some 2+mm"
8.0,0.0,2-4 mm,MFCR,K,D,"icy crust layer, some partially melted facets"
