# Location,CB
# Site,Upper
# PitID,3
# Date/Local Time,2020-05-12T09:45
# UTM Zone,13N
# Easting (m),327517
# Northing (m),4311257
# Latitude (deg),38.93329
# Longitude (deg),-106.98996
# Slope (deg),3
# Aspect (deg),281
# Air Temp (deg C),5
# Total Depth (cm),70
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,Open (20-70%)
# Comments:,nan
