# Location,CB
# Site,Aspen
# PitID,2
# Date/Local Time,2020-02-01T15:50
# UTM Zone,13N
# Easting (m),329146
# Northing (m),4310338
# Latitude (deg),38.92534
# Longitude (deg),-106.97095
# Slope (deg),3
# Aspect (deg),N
# Air Temp (deg C),-1.4
# Total Depth (cm),82
# Surveyors,"ES, MR"
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,20
# Tree Canopy,Open (20-70%)
# Comments:,nan
