# Location,NW
# Site,FN
# PitID,2
# Date/Local Time,2020-01-22T12:30
# UTM Zone,13N
# Easting (m),452766
# Northing (m),4431586
# Latitude (deg),40.03317
# Longitude (deg),-105.55362
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),-5.2
# Total Depth (cm),81
# Surveyors,"HB, AK"
# Weather,nan
# Precip,Light
# Sky,Broken (> 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,"Tare 787g, 3144 m elevation"
