# Location,NW
# Site,FF
# PitID,2
# Date/Local Time,2020-01-22T10:10
# UTM Zone,13N
# Easting,453399
# Northing,4431466
# Latitude,40.03213
# Longitude,-105.54619
# Depth (cm),Temperature (deg C)
59.0,-5.2
50.0,-4.4
40.0,-3.4
30.0,-2.9
20.0,-2.5
10.0,-2.0
0.0,-1.3
