# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-01-22T16:55
# UTM Zone,12N
# Easting,754171
# Northing,4325869
# Latitude,39.04494
# Longitude,-108.06313
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
74.0,64.0,120.0,1.158,1.178,0.0,0.09869970855874764
64.0,54.0,203.0,1.318,1.285,0.16997207986431984,0.0024648644764775703
54.0,44.0,263.0,1.439,1.303,0.2802366095112438,0.0
44.0,34.0,262.0,1.347,1.387,0.0,0.02348414315134452
34.0,24.0,256.0,1.376,1.38,0.01973013233573452,0.04014313138568733
24.0,14.0,302.5,1.63,1.658,0.9042746074571161,1.0476985042030116
14.0,4.0,317.0,1.417,1.506,0.0,0.1344478272922186
