# Location,Grand Mesa
# Site,Skyway Tree
# PitID,COGMST
# Date/Local Time,2020-01-22T16:55
# UTM Zone,12N
# Easting (m),754171
# Northing (m),4325869
# Latitude (deg),39.04494
# Longitude (deg),-108.06313
# Slope (deg),0
# Aspect (deg),0
# Air Temp (deg C),-6.8
# Total Depth (cm),74
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Cloudy, cold, calm. Snow started light and became stronger."
# Precip,Very Light
# Sky,Overcast(complete cover)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Bare,Shrub"
# Vegetation Depth,20
# Tree Canopy,Open (20-70%)
# Comments:,Trees at bottom left side of pit.
