# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-01-31T08:30
# UTM Zone,12N
# Easting (m),756903
# Northing (m),4324357
# Latitude (deg),39.03053
# Longitude (deg),-108.03217
# Slope (deg),1
# Aspect (deg),90
# Air Temp (deg C),-10.1
# Total Depth (cm),114
# Surveyors,C. Green
# WISe Serial No,WIS009A
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,15-20
# Tree Canopy,No Trees
# Comments:,Temp Start: 8:50 Temp End: 9:13
