# Location,CB
# Site,O2
# PitID,3
# Date/Local Time,2020-02-26T11:20
# UTM Zone,13N
# Easting,328484
# Northing,4310498
# Latitude,38.92665
# Longitude,-106.97862
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
118.0,108.0,116.0,143.0,NaN
108.0,98.0,186.0,227.0,200.0
98.0,88.0,283.0,234.0,253.0
88.0,78.0,265.0,265.0,NaN
78.0,68.0,249.0,253.0,NaN
68.0,58.0,292.0,295.0,NaN
58.0,48.0,266.0,275.0,NaN
48.0,38.0,273.0,267.0,NaN
38.0,28.0,288.0,315.0,305.0
28.0,18.0,297.0,297.0,NaN
