# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-02-12T12:52
# UTM Zone,12N
# Easting,754270
# Northing,4325785
# Latitude,39.04415
# Longitude,-108.06202
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
102.0,92.0,122.0,119.0,NaN
92.0,82.0,180.0,174.0,NaN
82.0,72.0,255.0,257.0,NaN
72.0,62.0,245.0,253.0,NaN
62.0,52.0,220.0,236.0,NaN
52.0,42.0,222.0,224.0,NaN
42.0,32.0,236.0,239.0,NaN
32.0,22.0,253.0,227.0,NaN
22.0,12.0,230.0,223.0,NaN
12.0,2.0,211.0,170.0,221.0
