# Location,Grand Mesa
# Site,Skyway Open
# PitID,COGMSO
# Date/Local Time,2020-02-12T12:52
# UTM Zone,12N
# Easting (m),754270
# Northing (m),4325785
# Latitude (deg),39.04415
# Longitude (deg),-108.06202
# Slope (deg),30
# Aspect (deg),135
# Air Temp (deg C),NaN
# Total Depth (cm),102
# Surveyors,C. Hiemstra
# WISe Serial No,WIS009A
# Weather,"Snow stopped, some blue showing in sky. IB: There was wind drifting; 4th interval board measurement: 9.5 cm, 14 mm"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,5
# Tree Canopy,No Trees
# Comments:,Temp start: 13:10 Temp end: 13:23  Big void at 12-2cm layer
