# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-13T15:10
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
260.0,210.0,1-2 mm,RG,F,D,NaN
210.0,184.0,< 1 mm,RG,4F,D,hand hardness range of 4F to 4F-
184.0,183.0,1-2 mm,MFCR,P,D,NaN
183.0,165.0,< 1 mm,RG,1F,D,NaN
165.0,154.0,< 1 mm,RG,1F,D,NaN
154.0,140.0,< 1 mm,RG,1F,D,NaN
140.0,73.0,< 1 mm,RG,P,D,NaN
73.0,59.0,1-2 mm,RG,P,D,hand hardess of P-
59.0,40.0,1-2 mm,RG,P,D,NaN
40.0,30.0,1-2 mm,RG,P,D,NaN
30.0,28.0,2-4 mm,MF,1F,D,NaN
28.0,0.0,1-2 mm,RG,P,D,NaN
