# Location,Fraser
# Site,SNB #1
# PitID,COFEB1
# Date/Local Time,2020-02-26T13:50
# UTM Zone,13N
# Easting (m),424968
# Northing (m),4417802
# Latitude (deg),39.90698
# Longitude (deg),-105.87781
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-7
# Total Depth (cm),96
# Surveyors,C. Quant
# WISe Serial No,nan
# Weather,nan
# Precip,None
# Sky,Overcast(complete cover)
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Rugged
# Ground Vegetation,"Grass,Deadfall"
# Vegetation Depth,"13,15"
# Tree Canopy,No Trees
# Comments:,Jackstraw deadfall at site
