# Location,CB
# Site,F14
# PitID,1
# Date/Local Time,2020-04-28T10:15
# UTM Zone,13N
# Easting (m),328589
# Northing (m),4310756
# Latitude (deg),38.92899
# Longitude (deg),-106.97747
# Slope (deg),10
# Aspect (deg),145
# Air Temp (deg C),7.3
# Total Depth (cm),114
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Light
# Ground Condition,Saturated
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,nan
