# Location,CB
# Site,F14
# PitID,1
# Date/Local Time,2020-04-28T10:15
# UTM Zone,13N
# Easting,328589
# Northing,4310756
# Latitude,38.92899
# Longitude,-106.97747
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
110.0,100.0,367.0,350.0,NaN
100.0,90.0,370.0,394.0,NaN
90.0,80.0,362.0,376.0,NaN
80.0,70.0,370.0,376.0,NaN
70.0,60.0,403.0,416.0,NaN
60.0,50.0,366.0,377.0,NaN
50.0,40.0,351.0,338.0,NaN
40.0,30.0,349.0,360.0,NaN
30.0,20.0,356.0,359.0,NaN
20.0,10.0,347.0,354.0,NaN
10.0,0.0,331.0,305.0,NaN
