# Location,Mammoth Lakes
# Site,Panorama Dome
# PitID,CAMLPD
# Date/Local Time,2019-12-18T11:28
# UTM Zone,11N
# Easting,323468
# Northing,4165496
# Latitude,37.61964
# Longitude,-119.00028
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
130.0,120.0,327.0,333.0,NaN
120.0,110.0,359.0,341.0,NaN
110.0,100.0,419.0,424.0,NaN
100.0,90.0,429.0,388.0,NaN
90.0,80.0,376.0,336.0,NaN
80.0,70.0,351.0,268.0,NaN
70.0,60.0,382.0,356.0,NaN
60.0,50.0,377.0,361.0,NaN
50.0,40.0,389.0,379.0,NaN
40.0,30.0,381.0,350.0,NaN
30.0,20.0,351.0,356.0,NaN
20.0,10.0,359.0,376.0,NaN
