# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-03-25T11:15
# UTM Zone,12N
# Easting (m),756903
# Northing (m),4324357
# Latitude (deg),39.03053
# Longitude (deg),-108.03217
# Slope (deg),0
# Aspect (deg),NaN
# Air Temp (deg C),-2.7
# Total Depth (cm),147
# Surveyors,J. Lund
# WISe Serial No,WIS009A
# Weather,"Cloudy, partly sunny, moderate gusty wind, wind from SW"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Moderate
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Bare
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,Temp start: 11:04. Temp stop: 11:17
