# Location,NW
# Site,FS
# PitID,3
# Date/Local Time,2020-03-11T11:10
# UTM Zone,13N
# Easting (m),452462
# Northing (m),4432373
# Latitude (deg),40.04025
# Longitude (deg),-105.55724
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),0.1
# Total Depth (cm),82
# Surveyors,AK
# Weather,nan
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Strong
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,lots of ice chunks in stratigraphy
