# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-01-31T12:00
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
230.0,220.0,149.0,NaN,NaN
220.0,210.0,180.0,NaN,NaN
210.0,200.0,167.0,NaN,NaN
200.0,190.0,232.0,NaN,NaN
190.0,180.0,224.0,NaN,NaN
180.0,170.0,205.0,NaN,NaN
170.0,160.0,238.0,NaN,NaN
160.0,150.0,284.0,NaN,NaN
150.0,140.0,280.0,NaN,NaN
140.0,130.0,303.0,NaN,NaN
130.0,120.0,315.0,NaN,NaN
120.0,110.0,332.0,NaN,NaN
110.0,100.0,338.0,NaN,NaN
100.0,90.0,355.0,NaN,NaN
90.0,80.0,355.0,NaN,NaN
80.0,70.0,365.0,NaN,NaN
70.0,60.0,370.0,NaN,NaN
60.0,50.0,390.0,NaN,NaN
50.0,40.0,390.0,NaN,NaN
40.0,30.0,506.0,NaN,NaN
30.0,20.0,445.0,NaN,NaN
20.0,10.0,418.0,NaN,NaN
10.0,0.0,400.0,NaN,NaN
