# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-01-31T12:00
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
232.0,225.0,1-2 mm,DF,F,D,NaN
225.0,202.0,1-2 mm,DF,F,D,hand hardness of F+
202.0,160.0,1-2 mm,DF,4F,D,"some RG, hand hardness range of 4F-1F"
160.0,155.0,1-2 mm,RG,P,D,Small amount of dust (wet deposition likely)
155.0,152.0,1-2 mm,MF,P,D,hand hardness of P+
152.0,77.0,< 1 mm,RG,P,D,NaN
77.0,74.0,1-2 mm,MFCR,P,D,NaN
74.0,40.0,2-4 mm,RG,P,D,NaN
40.0,5.0,2-4 mm,RG,P,M,hand hardness of P+
5.0,0.0,4-6 mm,RG,1F,M,NaN
