# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-01-31T12:00
# UTM Zone,12N
# Easting (m),446048
# Northing (m),4493579
# Latitude (deg),40.59125
# Longitude (deg),-111.63759
# Slope (deg),0
# Aspect (deg),180
# Air Temp (deg C),-1.4
# Total Depth (cm),232
# Surveyors,"S. Clark, M. Olson"
# WISe Serial No,nan
# Weather,High clouds early AM. Clearing by noon. No precip for past 2 days.
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,
# Tree Canopy,No Trees
# Comments:,nan
