# Location,NW
# Site,FS
# PitID,1
# Date/Local Time,2020-05-13T10:00
# UTM Zone,13N
# Easting (m),452490
# Northing (m),4432370
# Latitude (deg),40.04022
# Longitude (deg),-105.55691
# Slope (deg),NaN
# Aspect (deg),S
# Air Temp (deg C),8.6
# Total Depth (cm),52
# Surveyors,"AM, ES"
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Light
# Ground Condition,Frozen
# Ground Roughness,Smooth
# Ground Vegetation,"Shrub,Deadfall"
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,nan
