# Location,Jemez River
# Site,HQ Met Station
# PitID,NMJRHQ
# Date/Local Time,2020-02-26T11:57
# UTM Zone,13N
# Easting (m),362632
# Northing (m),3969260
# Latitude (deg),35.85793
# Longitude (deg),-106.52137
# Slope (deg),11
# Aspect (deg),83
# Air Temp (deg C),-5
# Total Depth (cm),66
# Surveyors,"A. Marziliano, R. Webb"
# WISe Serial No,WIS011A
# Weather,"Sunny, clear; warm with no wind, slight breeze Ground condition becoming more moist into afternoon"
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Grass
# Vegetation Depth,9-11
# Tree Canopy,No Trees
# Comments:,Density cutter tare weight: 755g
