# Location,NW
# Site,OF
# PitID,2
# Date/Local Time,2020-04-22T11:55
# UTM Zone,13N
# Easting (m),452917
# Northing (m),4431863
# Latitude (deg),40.03568
# Longitude (deg),-105.55187
# Slope (deg),NaN
# Aspect (deg),NaN
# Air Temp (deg C),7
# Total Depth (cm),103
# Surveyors,"HB, JT"
# Weather,"Very windy, blowing snow, mostly cloudy"
# Precip,None
# Sky,Broken (> 1/2 of sky)
# Wind,Extreme
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,"Grass,Shrub"
# Vegetation Depth,5
# Tree Canopy,No Trees
# Comments:,3095m elevation
