# Location,Cameron Pass
# Site,Michigan River
# PitID,COCPMR
# Date/Local Time,2020-03-04T12:29
# UTM Zone,13N
# Easting,424441
# Northing,4485707
# Latitude,40.51865
# Longitude,-105.89196
# Count,HS (cm)
1,120
2,111
3,130
4,127
5,122
6,124
7,122
8,120
9,NaN
