# Location,Grand Mesa
# Site,County Line Open
# PitID,COGMCO
# Date/Local Time,2020-03-18T09:25
# UTM Zone,12N
# Easting,756903
# Northing,4324357
# Latitude,39.03053
# Longitude,-108.03217
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
119.0,109.0,187.5,1.262,1.267,0.010473676760958065,0.035815958579007906
109.0,99.0,202.0,1.288,1.283,0.02581404221907368,0.0004348426530374858
99.0,89.0,222.33333333333334,1.312,1.322,0.0,0.03134880499122557
89.0,79.0,305.6666666666667,1.382,1.391,0.0,0.0
79.0,69.0,318.5,1.442,1.458,0.0,0.0
69.0,59.0,280.0,1.411,1.395,0.0,0.0
59.0,49.0,308.5,1.474,1.469,0.049397950019048495,0.023746787204190094
49.0,39.0,271.0,1.393,1.382,0.0,0.0
39.0,29.0,315.5,1.494,1.511,0.0868690439247613,0.1741363315647127
29.0,19.0,281.5,1.385,1.418,0.0,0.008912213128185097
19.0,9.0,284.0,1.449,1.438,0.1450638379009707,0.08877490324256211
9.0,0.0,NaN,1.364,1.34,NaN,NaN
