,Date,Location,Site,PitID,latitude,longitude
76,2020-02-19,Grand Mesa,County Line Tree,COGMCT,39.03222,-108.03426
77,2020-02-26,Grand Mesa,County Line Tree,COGMCT,39.03223,-108.03427
78,2020-03-12,Grand Mesa,County Line Tree,COGMCT,39.03226,-108.0344
79,2020-03-18,Grand Mesa,County Line Tree,COGMCT,39.03225,-108.03459
80,2019-12-19,Grand Mesa,Skyway Open,COGMSO,39.04418,-108.06201
81,2020-01-22,Grand Mesa,Skyway Open,COGMSO,39.04417,-108.06202
82,2020-02-19,Grand Mesa,Skyway Open,COGMSO,39.04417,-108.06205
83,2020-03-04,Grand Mesa,Skyway Open,COGMSO,39.04417,-108.06205
84,2020-03-12,Grand Mesa,Skyway Open,COGMSO,39.04416,-108.06203
85,2020-03-21,Grand Mesa,Skyway Open,COGMSO,39.04492,-108.06202
86,2020-02-12,Grand Mesa,Skyway Open,COGMSO,39.04415,-108.06202
87,2020-02-25,Grand Mesa,Skyway Open,COGMSO,39.04417,-108.06195
88,2020-03-28,Grand Mesa,Skyway Open,COGMSO,39.04412,-108.062
89,2020-01-31,Grand Mesa,Skyway Open,COGMSO,39.04408,-108.06204
90,2019-12-20,Grand Mesa,County Line Open,COGMCO,39.03056,-108.03218
91,2019-12-19,Grand Mesa,County Line Open,COGMCO,39.03057,-108.03281
92,2020-02-19,Grand Mesa,County Line Open,COGMCO,39.03057,-108.03218
93,2020-02-26,Grand Mesa,County Line Open,COGMCO,39.03055,-108.03218
94,2020-03-04,Grand Mesa,County Line Open,COGMCO,39.03052,-108.03218
95,2020-03-18,Grand Mesa,County Line Open,COGMCO,39.03044,-108.03187
96,2020-01-22,Grand Mesa,County Line Open,COGMCO,39.03052,-108.03218
97,2020-01-31,Grand Mesa,County Line Open,COGMCO,39.03056,-108.03214
98,2020-02-12,Grand Mesa,County Line Open,COGMCO,39.03053,-108.03219
99,2020-03-12,Grand Mesa,County Line Open,COGMCO,39.0305,-108.03215
100,2020-03-25,Grand Mesa,County Line Open,COGMCO,39.03049,-108.03217
101,2020-01-31,Grand Mesa,Skyway Tree,COGMST,39.04492,-108.06312
102,2020-02-12,Grand Mesa,Skyway Tree,COGMST,39.04492,-108.06308
103,2020-02-19,Grand Mesa,Skyway Tree,COGMST,39.04494,-108.06314
104,2020-02-25,Grand Mesa,Skyway Tree,COGMST,39.04494,-108.06314
105,2020-03-12,Grand Mesa,Skyway Tree,COGMST,39.04496,-108.06311
106,2020-03-28,Grand Mesa,Skyway Tree,COGMST,39.04487,-108.06342
107,2020-03-21,Grand Mesa,Skyway Tree,COGMST,39.04494,-108.06345
108,2020-01-22,Grand Mesa,Skyway Tree,COGMST,39.04496,-108.06316
109,2019-12-18,Senator Beck,Senator Beck,COSBSB,37.90702,-107.72623
110,2020-02-01,Senator Beck,Senator Beck,COSBSB,37.90705,-107.72623
111,2020-02-19,Senator Beck,Senator Beck,COSBSB,37.90708,-107.72626
112,2020-02-26,Senator Beck,Senator Beck,COSBSB,37.90706,-107.72627
113,2020-03-04,Senator Beck,Senator Beck,COSBSB,37.90706,-107.7263
114,2019-12-18,Senator Beck,Swamp Angel,COSBSA,37.90714,-107.7112
115,2020-01-22,Senator Beck,Swamp Angel,COSBSA,37.90717,-107.71121
116,2020-01-29,Senator Beck,Swamp Angel,COSBSA,37.90717,-107.71121
117,2020-02-12,Senator Beck,Swamp Angel,COSBSA,37.90717,-107.71121
