,Date,Location,Site,PitID,UTME,UTMN,UTMzone
77,12/23/19,Fraser,JPL #1,COFEJ1,424536,4417648,13
78,12/30/19,Fraser,JPL #1,COFEJ1,424539,4417648,13
79,10/4/20,Fraser,JPL #1,COFEJ1,424535,4417657,13
80,1/19/20,Fraser,JPL #1,COFEJ1,424537,4417650,13
81,1/24/20,Fraser,JPL #1,COFEJ1,424537,4417648,13
82,1/31/20,Fraser,JPL #1,COFEJ1,424537,4417652,13
83,2/5/20,Fraser,JPL #1,COFEJ1,424538,4417647,13
84,2/10/20,Fraser,JPL #1,COFEJ1,424538,4417650,13
85,2/12/20,Fraser,JPL #1,COFEJ1,424538,4417644,13
86,2/21/20,Fraser,JPL #1,COFEJ1,424539,4417645,13
87,2/26/20,Fraser,JPL #1,COFEJ1,424539,4417647,13
88,3/4/20,Fraser,JPL #1,COFEJ1,424539,4417644,13
89,3/11/20,Fraser,JPL #1,COFEJ1,424539,4417643,13
90,3/18/20,Fraser,JPL #1,COFEJ1,424539,4417643,13
91,10/24/19,Fraser,JPL #2,COFEJ2,424563,4417715,13
92,10/29/19,Fraser,JPL #2,COFEJ2,424562,4417711,13
93,11/24/19,Fraser,JPL #2,COFEJ2,424562,4417710,13
94,12/3/19,Fraser,JPL #2,COFEJ2,424562,4417712,13
95,12/10/19,Fraser,JPL #2,COFEJ2,424562,4417710,13
96,12/16/19,Fraser,JPL #2,COFEJ2,424557,4417713,13
97,12/30/19,Fraser,JPL #2,COFEJ2,424562,4417713,13
98,1/4/20,Fraser,JPL #2,COFEJ2,424562,4417716,13
99,1/8/20,Fraser,JPL #2,COFEJ2,424707,4417705,13
100,1/19/20,Fraser,JPL #2,COFEJ2,424563,4417711,13
101,2/5/20,Fraser,JPL #2,COFEJ2,424565,4417710,13
102,2/10/20,Fraser,JPL #2,COFEJ2,424563,4417709,13
103,2/21/20,Fraser,JPL #2,COFEJ2,424563,4417708,13
104,3/4/20,Fraser,JPL #2,COFEJ2,424564,4417707,13
105,3/11/20,Fraser,JPL #2,COFEJ2,424564,4417707,13
106,3/18/20,Fraser,JPL #2,COFEJ2,424564,4417707,13
107,12/19/19,Fraser,SNB #1,COFEB1,424961,4417795,13
108,1/31/20,Fraser,SNB #1,COFEB1,424967,4417805,13
109,2/5/20,Fraser,SNB #1,COFEB1,424960,4417803,13
110,2/12/20,Fraser,SNB #1,COFEB1,424991,4417808,13
111,2/21/20,Fraser,SNB #1,COFEB1,424967,4417800,13
112,2/26/20,Fraser,SNB #1,COFEB1,424965,4417803,13
113,3/4/20,Fraser,SNB #1,COFEB1,424965,4417803,13
114,3/11/20,Fraser,SNB #1,COFEB1,424972,4417800,13
115,12/19/19,Fraser,SNB #2,COFEB2,424863,4417806,13
116,1/31/20,Fraser,SNB #2,COFEB2,424861,4417811,13
117,2/5/20,Fraser,SNB #2,COFEB2,424863,4417808,13
118,2/12/20,Fraser,SNB #2,COFEB2,424864,4417809,13
119,2/21/20,Fraser,SNB #2,COFEB2,424866,4417810,13
120,2/26/20,Fraser,SNB #2,COFEB2,424861,4417805,13
121,12/19/19,Grand Mesa,County Line Open,COGMCO,756848,4324359,12
122,12/20/19,Grand Mesa,County Line Open,COGMCO,756902,4324360,12
123,1/22/20,Grand Mesa,County Line Open,COGMCO,756902,4324356,12
124,1/31/20,Grand Mesa,County Line Open,COGMCO,756906,4324360,12
125,2/12/20,Grand Mesa,County Line Open,COGMCO,756901,4324357,12
126,2/19/20,Grand Mesa,County Line Open,COGMCO,756902,4324361,12
127,2/26/20,Grand Mesa,County Line Open,COGMCO,756902,4324359,12
128,3/4/20,Grand Mesa,County Line Open,COGMCO,756902,4324356,12
