,Unnamed: 0,Date,Location,Site,PitID,Latitude,Longitude,UTME,UTMN,UTMzone
51,51,3/11/20,Boise River Basin,Lower Deer Point - Trees,IDBRLT,43.73635692766633,-116.12059619027973,570817,4842967,11
52,52,2/12/20,Boise River Basin,Mores Creek Summit,IDBRMC,43.94734726658913,-115.67665692129442,606192,4866876,11
53,53,3/11/20,Boise River Basin,Mores Creek Summit,IDBRMC,43.94734726658913,-115.67665692129442,606192,4866876,11
54,54,12/18/19,Cameron Pass,Joe Wright,COCPJW,40.52400793918487,-105.89341513232254,424324,4486303,13
55,55,1/24/20,Cameron Pass,Joe Wright,COCPJW,40.52406198650595,-105.89341584998517,424324,4486309,13
56,56,1/31/20,Cameron Pass,Joe Wright,COCPJW,40.524079728451845,-105.89345150253199,424321,4486311,13
57,57,2/12/20,Cameron Pass,Joe Wright,COCPJW,40.523935510985126,-105.89346139310815,424320,4486295,13
58,58,2/19/20,Cameron Pass,Joe Wright,COCPJW,40.524079728451845,-105.89345150253199,424321,4486311,13
59,59,2/26/20,Cameron Pass,Joe Wright,COCPJW,40.52411539487756,-105.89349919878606,424317,4486315,13
60,60,3/4/20,Cameron Pass,Joe Wright,COCPJW,40.52411557744044,-105.89347558989026,424319,4486315,13
61,61,3/11/20,Cameron Pass,Joe Wright,COCPJW,40.52037848965909,-105.89327250342438,424332,4485900,13
62,62,12/18/19,Cameron Pass,Michigan River,COCPMR,40.51867720185951,-105.891927793432,424444,4485710,13
63,63,1/24/20,Cameron Pass,Michigan River,COCPMR,40.518677292971,-105.89191598993295,424445,4485710,13
64,64,1/31/20,Cameron Pass,Michigan River,COCPMR,40.518659550500196,-105.89188034067082,424448,4485708,13
65,65,2/12/20,Cameron Pass,Michigan River,COCPMR,40.51857811497097,-105.89192648015943,424444,4485699,13
66,66,2/19/20,Cameron Pass,Michigan River,COCPMR,40.51869476208145,-105.89198704971975,424439,4485712,13
67,67,2/26/20,Cameron Pass,Michigan River,COCPMR,40.52035155723216,-105.89326034090865,424333,4485897,13
68,68,3/4/20,Cameron Pass,Michigan River,COCPMR,40.51871987202833,-105.89223528153778,424418,4485715,13
69,69,3/11/20,Cameron Pass,Michigan River,COCPMR,40.51856938040173,-105.89189095033089,424447,4485698,13
70,70,10/24/19,Fraser,JPL #1,COFEJ1,39.90563805332574,-105.8827917962177,424541,4417657,13
71,71,10/29/19,Fraser,JPL #1,COFEJ1,39.90559318704082,-105.88276782276604,424543,4417652,13
72,72,11/24/19,Fraser,JPL #1,COFEJ1,39.90555688436751,-105.88280245315784,424540,4417648,13
73,73,12/3/19,Fraser,JPL #1,COFEJ1,39.90559300893498,-105.8827912180523,424541,4417652,13
74,74,12/10/19,Fraser,JPL #1,COFEJ1,39.90557481306811,-105.88281438206641,424539,4417650,13
