,Identifier,PitID,Location,Site,Easting,Northing,Zone,Latitude,Longitude,Date,Local/Standard Time
46,IDBRBU_20200207_1230,IDBRBU,Boise River Basin,Bogus Upper,573239,4845487,11,43.75881,-116.09018,2/7,12:30:00
47,IDBRBU_20200214_1230,IDBRBU,Boise River Basin,Bogus Upper,573240,4845490,11,43.75884,-116.09017,2/14,12:30:00
48,IDBRBU_20200220_1100,IDBRBU,Boise River Basin,Bogus Upper,573240,4845487,11,43.75881,-116.09017,2/20,11:00:00
49,IDBRBU_20200226_1445,IDBRBU,Boise River Basin,Bogus Upper,573242,4845482,11,43.75876,-116.09014,2/26,14:45:00
50,IDBRBU_20200304_1455,IDBRBU,Boise River Basin,Bogus Upper,573238,4845485,11,43.75879,-116.09019,3/4,14:55:00
51,IDBRBU_20200311_1400,IDBRBU,Boise River Basin,Bogus Upper,573233,4845488,11,43.75882,-116.09025,3/11,14:00:00
52,IDBRMC_20200212_1100,IDBRMC,Boise River Basin,Mores Creek Summit,606192,4866876,11,43.94735,-115.67666,2/12,11:00:00
53,IDBRMC_20200311_1100,IDBRMC,Boise River Basin,Mores Creek Summit,606192,4866876,11,43.94735,-115.67666,3/11,11:00:00
54,COCPJW_20191218_1125,COCPJW,Cameron Pass,Joe Wright,424324,4486303,13,40.52401,-105.89342,12/18,11:25:00
55,COCPJW_20200124_1135,COCPJW,Cameron Pass,Joe Wright,424324,4486309,13,40.52406,-105.89342,1/24,11:35:00
56,COCPJW_20200131_1000,COCPJW,Cameron Pass,Joe Wright,424321,4486311,13,40.52408,-105.89345,1/31,10:00:00
57,COCPJW_20200212_1108,COCPJW,Cameron Pass,Joe Wright,424320,4486295,13,40.52394,-105.89346,2/12,11:08:00
58,COCPJW_20200219_1004,COCPJW,Cameron Pass,Joe Wright,424321,4486311,13,40.52408,-105.89345,2/19,10:04:00
59,COCPJW_20200226_0947,COCPJW,Cameron Pass,Joe Wright,424317,4486315,13,40.52412,-105.8935,2/26,9:47:00
60,COCPJW_20200304_0927,COCPJW,Cameron Pass,Joe Wright,424319,4486315,13,40.52412,-105.89348,3/4,9:27:00
61,COCPJW_20200311_0900,COCPJW,Cameron Pass,Joe Wright,424321,4486308,13,40.52405,-105.89345,3/11,9:00:00
62,COCPMR_20191218_1350,COCPMR,Cameron Pass,Michigan River,424444,4485710,13,40.51868,-105.89193,12/18,13:50:00
63,COCPMR_20200124_1115,COCPMR,Cameron Pass,Michigan River,424445,4485710,13,40.51868,-105.89192,1/24,11:15:00
64,COCPMR_20200131_1200,COCPMR,Cameron Pass,Michigan River,424448,4485708,13,40.51866,-105.89188,1/31,12:00:00
65,COCPMR_20200212_1348,COCPMR,Cameron Pass,Michigan River,424444,4485699,13,40.51858,-105.89193,2/12,13:48:00
66,COCPMR_20200219_1314,COCPMR,Cameron Pass,Michigan River,424439,4485712,13,40.51869,-105.89199,2/19,13:14:00
67,COCPMR_20200226_0949,COCPMR,Cameron Pass,Michigan River,424441,4485707,13,40.51865,-105.89196,2/26,9:49:00
68,COCPMR_20200304_1229,COCPMR,Cameron Pass,Michigan River,424444,4485706,13,40.51864,-105.89193,3/4,12:29:00
69,COCPMR_20200311_1200,COCPMR,Cameron Pass,Michigan River,424447,4485698,13,40.51857,-105.89189,3/11,12:00:00
70,COER12_20200201_1154,COER12,East River,Forest 12,328529,4310836,13,38.9297,-106.97818,2/1,11:54:00
71,COER12_20200201_1232,COER12,East River,Forest 12,328537,4310839,13,38.92973,-106.97809,2/1,12:32:00
72,COER12_20200201_1305,COER12,East River,Forest 12,328533,4310845,13,38.92978,-106.97814,2/1,13:05:00
73,COER12_20200226_1226,COER12,East River,Forest 12,328522,4310837,13,38.92971,-106.97826,2/26,12:26:00
74,COER12_20200226_1241,COER12,East River,Forest 12,328529,4310830,13,38.92965,-106.97818,2/26,12:41:00
75,COER12_20200226_1242,COER12,East River,Forest 12,328520,4310833,13,38.92967,-106.97829,2/26,12:42:00
76,COER12_20200428_1400,COER12,East River,Forest 12,328526,4310840,13,38.92974,-106.97822,4/28,14:00:00
77,COER12_20200428_1415,COER12,East River,Forest 12,328530,4310840,13,38.92974,-106.97817,4/28,14:15:00
78,COER12_20200428_1445,COER12,East River,Forest 12,328528,4310844,13,38.92977,-106.9782,4/28,14:45:00
79,COER12_20200512_1030,COER12,East River,Forest 12,328519,4310837,13,38.92971,-106.9783,5/12,10:30:00
80,COER12_20200512_1045,COER12,East River,Forest 12,328510,4310838,13,38.92972,-106.9784,5/12,10:45:00
81,COER12_20200512_1100,COER12,East River,Forest 12,328510,4310850,13,38.92982,-106.97841,5/12,11:00:00
82,COER13_20200226_1115,COER13,East River,Forest 13,328554,4310810,13,38.92947,-106.97789,2/26,11:15:00
83,COER13_20200226_1130,COER13,East River,Forest 13,328564,4310799,13,38.92938,-106.97777,2/26,11:30:00
84,COER13_20200226_1155,COER13,East River,Forest 13,328563,4310784,13,38.92924,-106.97778,2/26,11:55:00
85,COER13_20200428_1230,COER13,East River,Forest 13,328567,4310799,13,38.92938,-106.97774,4/28,12:30:00
86,COER13_20200428_1245,COER13,East River,Forest 13,328572,4310803,13,38.92941,-106.97768,4/28,12:45:00
87,COER13_20200428_1300,COER13,East River,Forest 13,328566,4310809,13,38.92947,-106.97775,4/28,13:00:00
88,COER13_20200512_1115,COER13,East River,Forest 13,328563,4310813,13,38.9295,-106.97779,5/12,11:15:00
89,COER13_20200512_1130,COER13,East River,Forest 13,328565,4310813,13,38.9295,-106.97776,5/12,11:30:00
