,Identifier,PitID,Location,Site,Easting,Northing,Zone,Latitude,Longitude,Date,Local/Standard Time
219,COFEB1_20200131_1230,COFEB1,Fraser Experimental Forest,SNB 1,424967,4417805,13,39.90701,-105.87783,1/31,12:30:00
220,COFEB1_20200205_1300,COFEB1,Fraser Experimental Forest,SNB 1,424960,4417803,13,39.90699,-105.87791,2/5,13:00:00
221,COFEB1_20200212_1030,COFEB1,Fraser Experimental Forest,SNB 1,424961,4417808,13,39.90704,-105.8779,2/12,10:30:00
222,COFEB1_20200221_1350,COFEB1,Fraser Experimental Forest,SNB 1,424967,4417800,13,39.90696,-105.87783,2/21,13:50:00
223,COFEB1_20200226_1350,COFEB1,Fraser Experimental Forest,SNB 1,424965,4417803,13,39.90699,-105.87785,2/26,13:50:00
224,COFEB1_20200304_1530,COFEB1,Fraser Experimental Forest,SNB 1,424965,4417803,13,39.90699,-105.87785,3/4,15:30:00
225,COFEB1_20200311_1200,COFEB1,Fraser Experimental Forest,SNB 1,424966,4417803,13,39.90699,-105.87784,3/11,12:00:00
226,COFEB2_20191219_1510,COFEB2,Fraser Experimental Forest,SNB 2,424863,4417806,13,39.90701,-105.87904,12/19,15:10:00
227,COFEB2_20200131_1304,COFEB2,Fraser Experimental Forest,SNB 2,424861,4417811,13,39.90705,-105.87907,1/31,13:04:00
228,COFEB2_20200205_1419,COFEB2,Fraser Experimental Forest,SNB 2,424863,4417808,13,39.90703,-105.87904,2/5,14:19:00
229,COFEB2_20200212_1120,COFEB2,Fraser Experimental Forest,SNB 2,424864,4417809,13,39.90704,-105.87903,2/12,11:20:00
230,COFEB2_20200221_1450,COFEB2,Fraser Experimental Forest,SNB 2,424866,4417810,13,39.90705,-105.87901,2/21,14:50:00
231,COFEB2_20200226_1440,COFEB2,Fraser Experimental Forest,SNB 2,424861,4417805,13,39.907,-105.87907,2/26,14:40:00
232,COGMCO_20191219_1220,COGMCO,Grand Mesa,County Line Open,756848,4324359,12,39.03057,-108.03281,12/19,12:20:00
233,COGMCO_20191220_1030,COGMCO,Grand Mesa,County Line Open,756902,4324360,12,39.03056,-108.03218,12/20,10:30:00
234,COGMCO_20200122_1015,COGMCO,Grand Mesa,County Line Open,756902,4324356,12,39.03052,-108.03218,1/22,10:15:00
235,COGMCO_20200131_0830,COGMCO,Grand Mesa,County Line Open,756906,4324360,12,39.03056,-108.03214,1/31,8:30:00
236,COGMCO_20200212_0852,COGMCO,Grand Mesa,County Line Open,756901,4324357,12,39.03053,-108.03219,2/12,8:52:00
237,COGMCO_20200219_0930,COGMCO,Grand Mesa,County Line Open,756902,4324361,12,39.03057,-108.03218,2/19,9:30:00
238,COGMCO_20200226_0715,COGMCO,Grand Mesa,County Line Open,756902,4324359,12,39.03055,-108.03218,2/26,7:15:00
239,COGMCO_20200304_0921,COGMCO,Grand Mesa,County Line Open,756902,4324356,12,39.03052,-108.03218,3/4,9:21:00
240,COGMCO_20200312_0850,COGMCO,Grand Mesa,County Line Open,756905,4324353,12,39.0305,-108.03215,3/12,8:50:00
241,COGMCO_20200318_0825,COGMCO,Grand Mesa,County Line Open,756929,4324348,12,39.03044,-108.03187,3/18,8:25:00
242,COGMCO_20200325_1015,COGMCO,Grand Mesa,County Line Open,756903,4324352,12,39.03049,-108.03217,3/25,10:15:00
243,COGMCO_20200417_1509,COGMCO,Grand Mesa,County Line Open,756900,4324356,12,39.03053,-108.03221,4/17,15:09:00
244,COGMCT_20191219_1420,COGMCT,Grand Mesa,County Line Tree,756697,4324532,12,39.03217,-108.03448,12/19,14:20:00
245,COGMCT_20200122_1225,COGMCT,Grand Mesa,County Line Tree,756710,4324540,12,39.03224,-108.03433,1/22,12:25:00
246,COGMCT_20200131_1016,COGMCT,Grand Mesa,County Line Tree,756714,4324540,12,39.03224,-108.03428,1/31,10:16:00
247,COGMCT_20200212_1030,COGMCT,Grand Mesa,County Line Tree,756713,4324539,12,39.03223,-108.0343,2/12,10:30:00
248,COGMCT_20200219_1115,COGMCT,Grand Mesa,County Line Tree,756716,4324538,12,39.03222,-108.03426,2/19,11:15:00
249,COGMCT_20200226_0855,COGMCT,Grand Mesa,County Line Tree,756715,4324539,12,39.03223,-108.03427,2/26,8:55:00
250,COGMCT_20200304_1252,COGMCT,Grand Mesa,County Line Tree,756710,4324540,12,39.03224,-108.03433,3/4,12:52:00
251,COGMCT_20200312_1030,COGMCT,Grand Mesa,County Line Tree,756704,4324542,12,39.03226,-108.0344,3/12,10:30:00
252,COGMCT_20200318_1005,COGMCT,Grand Mesa,County Line Tree,756687,4324541,12,39.03225,-108.03459,3/18,10:05:00
253,COGMCT_20200325_1230,COGMCT,Grand Mesa,County Line Tree,756687,4324536,12,39.03221,-108.0346,3/25,12:30:00
254,COGMWO_20200305_0809,COGMWO,Grand Mesa,Mesa West Open,741079,4324261,12,39.03418,-108.2148,3/5,8:09:00
255,COGMWO_20200316_0841,COGMWO,Grand Mesa,Mesa West Open,741195,4324281,12,39.03432,-108.21346,3/16,8:41:00
256,COGMWO_20200316_1358,COGMWO,Grand Mesa,Mesa West Open,741305,4324264,12,39.03414,-108.21219,3/16,13:58:00
257,COGMWO_20200316_1519,COGMWO,Grand Mesa,Mesa West Open,741085,4324297,12,39.0345,-108.21472,3/16,15:19:00
258,COGMWO_20200331_0934,COGMWO,Grand Mesa,Mesa West Open,741146,4324202,12,39.03363,-108.21405,3/31,9:34:00
259,COGMWO_20200331_1530,COGMWO,Grand Mesa,Mesa West Open,741147,4324210,12,39.0337,-108.21403,3/31,15:30:00
260,COGMWO_20200408_1551,COGMWO,Grand Mesa,Mesa West Open,741161,4324240,12,39.03396,-108.21386,4/8,15:51:00
261,COGMWO_20200409_0550,COGMWO,Grand Mesa,Mesa West Open,741161,4324223,12,39.03381,-108.21387,4/9,5:50:00
262,COGMWO_20200409_1218,COGMWO,Grand Mesa,Mesa West Open,741144,4324213,12,39.03373,-108.21407,4/9,12:18:00
263,COGMWO_20200409_1615,COGMWO,Grand Mesa,Mesa West Open,741158,4324242,12,39.03398,-108.2139,4/9,16:15:00
264,COGMWT_20200305_0935,COGMWT,Grand Mesa,Mesa West Trees,741298,4324153,12,39.03314,-108.21231,3/5,9:35:00
265,COGMWT_20200316_1050,COGMWT,Grand Mesa,Mesa West Trees,741410,4324202,12,39.03355,-108.211,3/16,10:50:00
266,COGMWT_20200316_1228,COGMWT,Grand Mesa,Mesa West Trees,741361,4324175,12,39.03332,-108.21158,3/16,12:28:00
267,COGMWT_20200331_1145,COGMWT,Grand Mesa,Mesa West Trees,741123,4324082,12,39.03255,-108.21436,3/31,11:45:00
268,COGMWT_20200331_1310,COGMWT,Grand Mesa,Mesa West Trees,741183,4324073,12,39.03246,-108.21367,3/31,13:10:00
269,COGMWT_20200409_0725,COGMWT,Grand Mesa,Mesa West Trees,741176,4324064,12,39.03238,-108.21375,4/9,7:25:00
270,COGMWT_20200409_1440,COGMWT,Grand Mesa,Mesa West Trees,741178,4324063,12,39.03237,-108.21373,4/9,14:40:00
271,COGMSO_20191219_1600,COGMSO,Grand Mesa,Skyway Open,754271,4325788,12,39.04418,-108.06201,12/19,16:00:00
272,COGMSO_20200122_1455,COGMSO,Grand Mesa,Skyway Open,754270,4325787,12,39.04417,-108.06202,1/22,14:55:00
273,COGMSO_20200131_1225,COGMSO,Grand Mesa,Skyway Open,754268,4325777,12,39.04408,-108.06204,1/31,12:25:00
274,COGMSO_20200212_1252,COGMSO,Grand Mesa,Skyway Open,754270,4325785,12,39.04415,-108.06202,2/12,12:52:00
275,COGMSO_20200219_1340,COGMSO,Grand Mesa,Skyway Open,754267,4325787,12,39.04417,-108.06205,2/19,13:40:00
276,COGMSO_20200225_1500,COGMSO,Grand Mesa,Skyway Open,754276,4325787,12,39.04417,-108.06195,2/25,15:00:00
277,COGMSO_20200304_1550,COGMSO,Grand Mesa,Skyway Open,754267,4325787,12,39.04417,-108.06205,3/4,15:50:00
278,COGMSO_20200306_1705,COGMSO,Grand Mesa,Skyway Open,754044,4325657,12,39.04307,-108.06467,3/6,17:05:00
279,COGMSO_20200312_1520,COGMSO,Grand Mesa,Skyway Open,754269,4325786,12,39.04416,-108.06203,3/12,15:20:00
280,COGMSO_20200321_1006,COGMSO,Grand Mesa,Skyway Open,754267,4325870,12,39.04492,-108.06202,3/21,10:06:00
281,COGMSO_20200328_0900,COGMSO,Grand Mesa,Skyway Open,754310,4326542,12,39.05096,-108.06127,3/28,9:00:00
282,COGMSO_20200328_1630,COGMSO,Grand Mesa,Skyway Open,754272,4325781,12,39.04412,-108.062,3/28,16:30:00
283,COGMSO_20200406_0650,COGMSO,Grand Mesa,Skyway Open,754306,4326535,12,39.05089,-108.06132,4/6,6:50:00
284,COGMSO_20200406_1600,COGMSO,Grand Mesa,Skyway Open,754308,4326539,12,39.05093,-108.0613,4/6,16:00:00
285,COGMSO_20200419_1600,COGMSO,Grand Mesa,Skyway Open,754287,4325780,12,39.0441,-108.06182,4/19,16:00:00
286,COGMSO_20200421_0553,COGMSO,Grand Mesa,Skyway Open,754258,4325768,12,39.044,-108.06216,4/21,5:53:00
287,COGMSO_20200421_1626,COGMSO,Grand Mesa,Skyway Open,754258,4325772,12,39.04404,-108.06216,4/21,16:26:00
288,COGMSO_20200422_1512,COGMSO,Grand Mesa,Skyway Open,754251,4325772,12,39.04404,-108.06224,4/22,15:12:00
289,COGMSO_20200503_0602,COGMSO,Grand Mesa,Skyway Open,754242,4325757,12,39.04391,-108.06235,5/3,6:02:00
290,COGMSO_20200503_1610,COGMSO,Grand Mesa,Skyway Open,754242,4325761,12,39.04395,-108.06235,5/3,16:10:00
291,COGMST_20200122_1655,COGMST,Grand Mesa,Skyway Tree,754168,4325871,12,39.04496,-108.06316,1/22,16:55:00
292,COGMST_20200131_1423,COGMST,Grand Mesa,Skyway Tree,754172,4325867,12,39.04492,-108.06312,1/31,14:23:00
293,COGMST_20200212_1430,COGMST,Grand Mesa,Skyway Tree,754175,4325867,12,39.04492,-108.06308,2/12,14:30:00
294,COGMST_20200219_1500,COGMST,Grand Mesa,Skyway Tree,754170,4325869,12,39.04494,-108.06314,2/19,15:00:00
295,COGMST_20200225_1640,COGMST,Grand Mesa,Skyway Tree,754170,4325869,12,39.04494,-108.06314,2/25,16:40:00
296,COGMST_20200306_1815,COGMST,Grand Mesa,Skyway Tree,754015,4325637,12,39.0429,-108.06502,3/6,18:15:00
297,COGMST_20200312_1345,COGMST,Grand Mesa,Skyway Tree,754173,4325871,12,39.04496,-108.06311,3/12,13:45:00
298,COGMST_20200321_1155,COGMST,Grand Mesa,Skyway Tree,754143,4325868,12,39.04494,-108.06345,3/21,11:55:00
299,COGMST_20200328_0715,COGMST,Grand Mesa,Skyway Tree,754199,4326551,12,39.05107,-108.06255,3/28,7:15:00
300,COGMST_20200328_1430,COGMST,Grand Mesa,Skyway Tree,754146,4325861,12,39.04487,-108.06342,3/28,14:30:00
301,COGMST_20200401_0900,COGMST,Grand Mesa,Skyway Tree,754184,4326540,12,39.05097,-108.06273,4/1,9:00:00
302,COGMST_20200401_1535,COGMST,Grand Mesa,Skyway Tree,754180,4326531,12,39.05089,-108.06278,4/1,15:35:00
303,COGMST_20200418_1217,COGMST,Grand Mesa,Skyway Tree,754142,4325831,12,39.04461,-108.06348,4/18,12:17:00
304,COGMST_20200421_0726,COGMST,Grand Mesa,Skyway Tree,754212,4325899,12,39.0452,-108.06265,4/21,7:26:00
305,COGMST_20200421_1507,COGMST,Grand Mesa,Skyway Tree,754048,4325618,12,39.04272,-108.06464,4/21,15:07:00
306,COGMST_20200422_1618,COGMST,Grand Mesa,Skyway Tree,754134,4325810,12,39.04442,-108.06358,4/22,16:18:00
307,COGMST_20200503_0653,COGMST,Grand Mesa,Skyway Tree,754143,4325838,12,39.04467,-108.06346,5/3,6:53:00
308,COGMST_20200503_1732,COGMST,Grand Mesa,Skyway Tree,754148,4325844,12,39.04472,-108.0634,5/3,17:32:00
309,NMJRBA_20191220_1450,NMJRBA,Jemez River,BA Flux Tower,361743,3972674,13,35.88858,-106.5318,12/20,14:50:00
310,NMJRBA_20200122_1420,NMJRBA,Jemez River,BA Flux Tower,361743,3972675,13,35.88859,-106.5318,1/22,14:20:00
311,NMJRBA_20200129_1119,NMJRBA,Jemez River,BA Flux Tower,361743,3972676,13,35.8886,-106.5318,1/29,11:19:00
312,NMJRBA_20200205_1114,NMJRBA,Jemez River,BA Flux Tower,361739,3972679,13,35.88862,-106.53185,2/5,11:14:00
313,NMJRBA_20200212_1337,NMJRBA,Jemez River,BA Flux Tower,361744,3972675,13,35.88859,-106.53179,2/12,13:37:00
314,NMJRBA_20200220_1234,NMJRBA,Jemez River,BA Flux Tower,361736,3972673,13,35.88857,-106.53188,2/20,12:34:00
315,NMJRBA_20200226_1139,NMJRBA,Jemez River,BA Flux Tower,361736,3972673,13,35.88857,-106.53188,2/26,11:39:00
316,NMJRBA_20200304_1116,NMJRBA,Jemez River,BA Flux Tower,361734,3972677,13,35.88861,-106.5319,3/4,11:16:00
317,NMJRHQ_20191220_1100,NMJRHQ,Jemez River,HQ Met Station,362630,3969259,13,35.85793,-106.52139,12/20,11:00:00
318,NMJRHQ_20200122_1115,NMJRHQ,Jemez River,HQ Met Station,362630,3969259,13,35.85793,-106.52139,1/22,11:15:00
319,NMJRHQ_20200129_1026,NMJRHQ,Jemez River,HQ Met Station,362631,3969256,13,35.8579,-106.52138,1/29,10:26:00
320,NMJRHQ_20200205_1100,NMJRHQ,Jemez River,HQ Met Station,362631,3969255,13,35.85789,-106.52138,2/5,11:00:00
321,NMJRHQ_20200212_1305,NMJRHQ,Jemez River,HQ Met Station,362633,3969255,13,35.85789,-106.52136,2/12,13:05:00
322,NMJRHQ_20200220_1156,NMJRHQ,Jemez River,HQ Met Station,362633,3969258,13,35.85792,-106.52136,2/20,11:56:00
323,NMJRHQ_20200226_1157,NMJRHQ,Jemez River,HQ Met Station,362633,3969258,13,35.85792,-106.52136,2/26,11:57:00
324,NMJRHQ_20200304_1105,NMJRHQ,Jemez River,HQ Met Station,362632,3969257,13,35.85791,-106.52137,3/4,11:05:00
325,UTLCAC_20200124_1222,UTLCAC,Little Cottonwood Canyon,Alta Collins,446677,4491448,12,40.5721,-111.62997,1/24,12:22:00
326,UTLCAC_20200131_1130,UTLCAC,Little Cottonwood Canyon,Alta Collins,446677,4491448,12,40.5721,-111.62997,1/31,11:30:00
327,UTLCAC_20200213_1345,UTLCAC,Little Cottonwood Canyon,Alta Collins,446677,4491448,12,40.5721,-111.62997,2/13,13:45:00
328,UTLCAC_20200220_1400,UTLCAC,Little Cottonwood Canyon,Alta Collins,446677,4491448,12,40.5721,-111.62997,2/20,14:00:00
329,UTLCAC_20200227_1000,UTLCAC,Little Cottonwood Canyon,Alta Collins,446677,4491448,12,40.5721,-111.62997,2/27,10:00:00
330,UTLCAC_20200305_1100,UTLCAC,Little Cottonwood Canyon,Alta Collins,446677,4491448,12,40.5721,-111.62997,3/5,11:00:00
331,UTLCAC_20200312_0930,UTLCAC,Little Cottonwood Canyon,Alta Collins,446677,4491448,12,40.5721,-111.62997,3/12,9:30:00
332,UTLCAW_20200124_1100,UTLCAW,Little Cottonwood Canyon,Atwater,446048,4493579,12,40.59125,-111.63759,1/24,11:00:00
333,UTLCAW_20200131_1200,UTLCAW,Little Cottonwood Canyon,Atwater,446048,4493579,12,40.59125,-111.63759,1/31,12:00:00
334,UTLCAW_20200213_1510,UTLCAW,Little Cottonwood Canyon,Atwater,446048,4493579,12,40.59125,-111.63759,2/13,15:10:00
335,UTLCAW_20200220_1350,UTLCAW,Little Cottonwood Canyon,Atwater,446048,4493579,12,40.59125,-111.63759,2/20,13:50:00
336,UTLCAW_20200227_1145,UTLCAW,Little Cottonwood Canyon,Atwater,446048,4493579,12,40.59125,-111.63759,2/27,11:45:00
337,UTLCAW_20200305_1230,UTLCAW,Little Cottonwood Canyon,Atwater,446048,4493579,12,40.59125,-111.63759,3/5,12:30:00
338,UTLCAW_20200312_1248,UTLCAW,Little Cottonwood Canyon,Atwater,446048,4493579,12,40.59125,-111.63759,3/12,12:48:00
339,CAMLCP_20191218_1108,CAMLCP,Mammoth Lakes,CUES,320984,4168173,11,37.64327,-119.02907,12/18,11:08:00
340,CAMLCP_20200122_1000,CAMLCP,Mammoth Lakes,CUES,320981,4168175,11,37.64329,-119.0291,1/22,10:00:00
341,CAMLCP_20200129_0950,CAMLCP,Mammoth Lakes,CUES,320983,4168174,11,37.64328,-119.02908,1/29,9:50:00
342,CAMLCP_20200206_1335,CAMLCP,Mammoth Lakes,CUES,320983,4168172,11,37.64326,-119.02908,2/6,13:35:00
343,CAMLCP_20200212_1015,CAMLCP,Mammoth Lakes,CUES,320984,4168170,11,37.64325,-119.02907,2/12,10:15:00
344,CAMLCP_20200219_1005,CAMLCP,Mammoth Lakes,CUES,320986,4168172,11,37.64326,-119.02905,2/19,10:05:00
345,CAMLCP_20200226_0954,CAMLCP,Mammoth Lakes,CUES,320988,4168164,11,37.64319,-119.02902,2/26,9:54:00
346,CAMLCP_20200304_1028,CAMLCP,Mammoth Lakes,CUES,320986,4168164,11,37.64319,-119.02905,3/4,10:28:00
347,CAMLCP_20200311_0908,CAMLCP,Mammoth Lakes,CUES,320986,4168164,11,37.64319,-119.02905,3/11,9:08:00
348,CAMLPD_20191218_1128,CAMLPD,Mammoth Lakes,Panorama Dome,323463,4165497,11,37.61965,-119.00034,12/18,11:28:00
349,CAMLPD_20200124_0945,CAMLPD,Mammoth Lakes,Panorama Dome,323469,4165498,11,37.61966,-119.00027,1/24,9:45:00
350,CAMLPD_20200129_1030,CAMLPD,Mammoth Lakes,Panorama Dome,323467,4165497,11,37.61965,-119.0003,1/29,10:30:00
351,CAMLPD_20200205_1000,CAMLPD,Mammoth Lakes,Panorama Dome,323469,4165496,11,37.61964,-119.00027,2/5,10:00:00
352,CAMLPD_20200212_1029,CAMLPD,Mammoth Lakes,Panorama Dome,323469,4165496,11,37.61964,-119.00027,2/12,10:29:00
353,CAMLPD_20200219_1015,CAMLPD,Mammoth Lakes,Panorama Dome,323469,4165491,11,37.61959,-119.00027,2/19,10:15:00
354,CONWC1_20191218_0915,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,12/18,9:15:00
355,CONWC1_20200122_1145,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,1/22,11:45:00
356,CONWC1_20200129_1020,CONWC1,Niwot Ridge,C1,453405,4431583,13,40.03318,-105.54613,1/29,10:20:00
357,CONWC1_20200205_1020,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,2/5,10:20:00
358,CONWC1_20200212_0910,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,2/12,9:10:00
359,CONWC1_20200219_0930,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,2/19,9:30:00
360,CONWC1_20200226_0820,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,2/26,8:20:00
361,CONWC1_20200304_0903,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,3/4,9:03:00
362,CONWC1_20200311_0716,CONWC1,Niwot Ridge,C1,453402,4431582,13,40.03317,-105.54616,3/11,7:16:00
363,CONWFF_20200122_1010,CONWFF,Niwot Ridge,Forest Flat,453399,4431466,13,40.03213,-105.54619,1/22,10:10:00
364,CONWFF_20200122_1020,CONWFF,Niwot Ridge,Forest Flat,453399,4431466,13,40.03213,-105.54619,1/22,10:20:00
365,CONWFF_20200122_1025,CONWFF,Niwot Ridge,Forest Flat,453399,4431466,13,40.03213,-105.54619,1/22,10:25:00
366,CONWFF_20200212_1110,CONWFF,Niwot Ridge,Forest Flat,453393,4431461,13,40.03208,-105.54626,2/12,11:10:00
367,CONWFF_20200212_1145,CONWFF,Niwot Ridge,Forest Flat,453358,4431450,13,40.03198,-105.54667,2/12,11:45:00
368,CONWFF_20200311_0900,CONWFF,Niwot Ridge,Forest Flat,453320,4431435,13,40.03184,-105.54712,3/11,9:00:00
369,CONWFF_20200311_0920,CONWFF,Niwot Ridge,Forest Flat,453318,4431439,13,40.03188,-105.54714,3/11,9:20:00
370,CONWFF_20200311_0945,CONWFF,Niwot Ridge,Forest Flat,453313,4431444,13,40.03193,-105.5472,3/11,9:45:00
371,CONWFF_20200422_1310,CONWFF,Niwot Ridge,Forest Flat,453335,4431420,13,40.03171,-105.54694,4/22,13:10:00
372,CONWFF_20200513_0930,CONWFF,Niwot Ridge,Forest Flat,453356,4431402,13,40.03155,-105.54669,5/13,9:30:00
373,CONWFF_20200513_0955,CONWFF,Niwot Ridge,Forest Flat,453353,4431394,13,40.03148,-105.54673,5/13,9:55:00
374,CONWFF_20200513_1030,CONWFF,Niwot Ridge,Forest Flat,453355,4431398,13,40.03151,-105.5467,5/13,10:30:00
375,CONWFN_20200122_1230,CONWFN,Niwot Ridge,Forest North,452766,4431586,13,40.03317,-105.55362,1/22,12:30:00
376,CONWFN_20200122_1231,CONWFN,Niwot Ridge,Forest North,452786,4431582,13,40.03314,-105.55338,1/22,12:31:00
377,CONWFN_20200122_1245,CONWFN,Niwot Ridge,Forest North,452757,4431595,13,40.03325,-105.55373,1/22,12:45:00
378,CONWFN_20200212_1335,CONWFN,Niwot Ridge,Forest North,452751,4431608,13,40.03337,-105.5538,2/12,13:35:00
379,CONWFN_20200311_1100,CONWFN,Niwot Ridge,Forest North,452778,4431584,13,40.03316,-105.55348,3/11,11:00:00
380,CONWFN_20200311_1101,CONWFN,Niwot Ridge,Forest North,452767,4431587,13,40.03318,-105.55361,3/11,11:01:00
381,CONWFN_20200311_1130,CONWFN,Niwot Ridge,Forest North,452773,4431592,13,40.03323,-105.55354,3/11,11:30:00
382,CONWFN_20200513_0944,CONWFN,Niwot Ridge,Forest North,452713,4431634,13,40.0336,-105.55424,5/13,9:44:00
383,CONWFN_20200513_1000,CONWFN,Niwot Ridge,Forest North,452712,4431637,13,40.03363,-105.55426,5/13,10:00:00
384,CONWFN_20200513_1024,CONWFN,Niwot Ridge,Forest North,452726,4431635,13,40.03361,-105.55409,5/13,10:24:00
385,CONWFN_20200513_1048,CONWFN,Niwot Ridge,Forest North,452731,4431645,13,40.0337,-105.55403,5/13,10:48:00
386,CONWFS_20200122_1400,CONWFS,Niwot Ridge,Forest South,452491,4432381,13,40.04032,-105.5569,1/22,14:00:00
387,CONWFS_20200122_1405,CONWFS,Niwot Ridge,Forest South,452468,4432364,13,40.04017,-105.55717,1/22,14:05:00
388,CONWFS_20200122_1406,CONWFS,Niwot Ridge,Forest South,452485,4432379,13,40.0403,-105.55697,1/22,14:06:00
389,CONWFS_20200212_1040,CONWFS,Niwot Ridge,Forest South,452480,4432355,13,40.04009,-105.55703,2/12,10:40:00
390,CONWFS_20200212_1100,CONWFS,Niwot Ridge,Forest South,452480,4432331,13,40.03987,-105.55703,2/12,11:00:00
391,CONWFS_20200212_1108,CONWFS,Niwot Ridge,Forest South,452480,4432343,13,40.03998,-105.55703,2/12,11:08:00
392,CONWFS_20200311_0930,CONWFS,Niwot Ridge,Forest South,452462,4432383,13,40.04034,-105.55724,3/11,9:30:00
393,CONWFS_20200311_0931,CONWFS,Niwot Ridge,Forest South,452481,4432369,13,40.04021,-105.55702,3/11,9:31:00
394,CONWFS_20200311_1010,CONWFS,Niwot Ridge,Forest South,452447,4432373,13,40.04025,-105.55742,3/11,10:10:00
395,CONWFS_20200513_0915,CONWFS,Niwot Ridge,Forest South,452496,4432375,13,40.04027,-105.55684,5/13,9:15:00
396,CONWFS_20200513_0930,CONWFS,Niwot Ridge,Forest South,452490,4432387,13,40.04037,-105.55691,5/13,9:30:00
397,CONWFS_20200513_0945,CONWFS,Niwot Ridge,Forest South,452506,4432385,13,40.04036,-105.55672,5/13,9:45:00
398,CONWFS_20200513_1000,CONWFS,Niwot Ridge,Forest South,452490,4432370,13,40.04022,-105.55691,5/13,10:00:00
399,CONWOF_20200122_1100,CONWOF,Niwot Ridge,Open Flat,452909,4431905,13,40.03606,-105.55197,1/22,11:00:00
400,CONWOF_20200122_1115,CONWOF,Niwot Ridge,Open Flat,452886,4431903,13,40.03604,-105.55224,1/22,11:15:00
401,CONWOF_20200122_1140,CONWOF,Niwot Ridge,Open Flat,452872,4431913,13,40.03613,-105.5524,1/22,11:40:00
402,CONWOF_20200212_1254,CONWOF,Niwot Ridge,Open Flat,452888,4431886,13,40.03588,-105.55221,2/12,12:54:00
403,CONWOF_20200212_1300,CONWOF,Niwot Ridge,Open Flat,452906,4431866,13,40.0357,-105.552,2/12,13:00:00
404,CONWOF_20200212_1310,CONWOF,Niwot Ridge,Open Flat,452901,4431878,13,40.03581,-105.55206,2/12,13:10:00
405,CONWOF_20200311_1100,CONWOF,Niwot Ridge,Open Flat,452898,4431871,13,40.03575,-105.55209,3/11,11:00:00
406,CONWOF_20200311_1118,CONWOF,Niwot Ridge,Open Flat,452907,4431864,13,40.03569,-105.55199,3/11,11:18:00
407,CONWOF_20200311_1145,CONWOF,Niwot Ridge,Open Flat,452914,4431868,13,40.03572,-105.5519,3/11,11:45:00
408,CONWOF_20200422_1054,CONWOF,Niwot Ridge,Open Flat,452917,4431863,13,40.03568,-105.55187,4/22,10:54:00
409,CONWOF_20200422_1155,CONWOF,Niwot Ridge,Open Flat,452917,4431863,13,40.03568,-105.55187,4/22,11:55:00
410,CONWOF_20200513_1050,CONWOF,Niwot Ridge,Open Flat,452892,4431872,13,40.03576,-105.55216,5/13,10:50:00
411,CONWOF_20200513_1105,CONWOF,Niwot Ridge,Open Flat,452897,4431870,13,40.03574,-105.5521,5/13,11:05:00
412,CONWOF_20200513_1115,CONWOF,Niwot Ridge,Open Flat,452914,4431858,13,40.03563,-105.5519,5/13,11:15:00
413,CONWOF_20200513_1130,CONWOF,Niwot Ridge,Open Flat,452907,4431858,13,40.03563,-105.55199,5/13,11:30:00
414,CONWSA_20191218_1300,CONWSA,Niwot Ridge,Saddle,449623,4434025,13,40.05497,-105.59065,12/18,13:00:00
415,CONWSA_20200129_1030,CONWSA,Niwot Ridge,Saddle,449623,4434025,13,40.05497,-105.59065,1/29,10:30:00
416,CONWSA_20200205_1145,CONWSA,Niwot Ridge,Saddle,449623,4434025,13,40.05497,-105.59065,2/5,11:45:00
417,CONWSA_20200212_1045,CONWSA,Niwot Ridge,Saddle,449623,4434025,13,40.05497,-105.59065,2/12,10:45:00
418,CONWSA_20200219_1032,CONWSA,Niwot Ridge,Saddle,449623,4434025,13,40.05497,-105.59065,2/19,10:32:00
419,CONWSA_20200226_1016,CONWSA,Niwot Ridge,Saddle,449623,4434025,13,40.05497,-105.59065,2/26,10:16:00
420,CONWSA_20200304_1006,CONWSA,Niwot Ridge,Saddle,449623,4434025,13,40.05497,-105.59065,3/4,10:06:00
421,CASHFO_20191220_1231,CASHFO,Sagehen Creek,Forest,737377,4368090,10,39.42968,-120.24211,12/20,12:31:00
422,CASHFO_20200129_1053,CASHFO,Sagehen Creek,Forest,737385,4368079,10,39.42957,-120.24203,1/29,10:53:00
423,CASHFO_20200212_0919,CASHFO,Sagehen Creek,Forest,737377,4368075,10,39.42954,-120.24212,2/12,9:19:00
424,CASHFO_20200219_1000,CASHFO,Sagehen Creek,Forest,737377,4368075,10,39.42954,-120.24212,2/19,10:00:00
425,CASHFO_20200226_1000,CASHFO,Sagehen Creek,Forest,737377,4368075,10,39.42954,-120.24212,2/26,10:00:00
426,CASHFO_20200304_0925,CASHFO,Sagehen Creek,Forest,737377,4368075,10,39.42954,-120.24212,3/4,9:25:00
427,CASHFO_20200311_0823,CASHFO,Sagehen Creek,Forest,737377,4368075,10,39.42954,-120.24212,3/11,8:23:00
