# Location,East River
# Site,Irwin Barn
# PitID,COERIB
# Date/Local Time,2020-01-29T11:45
# UTM Zone,13N
# Easting,317172
# Northing,4306473
# Latitude,38.88812
# Longitude,-107.10796
# Depth (cm),Temperature (deg C)
168.0,-6.6
160.0,-9.0
150.0,-8.1
140.0,-6.6
130.0,-5.1
120.0,-4.6
110.0,-4.0
100.0,-3.5
90.0,-3.0
80.0,-2.6
70.0,-2.2
60.0,-1.8
50.0,-1.5
40.0,-1.2
30.0,-0.9
20.0,-0.6
10.0,-0.2
0.0,0.0
