# Location,Cameron Pass
# Site,Michigan River
# PitID,COCPMR
# Date/Local Time,2019-12-18T13:50
# UTM Zone,13N
# Easting,424441
# Northing,4485707
# Latitude,40.51865
# Longitude,-105.89196
# Depth (cm),Temperature (deg C)
74.0,-8.8
64.0,-11.5
54.0,-9.7
44.0,-7.2
34.0,-5.1
24.0,-3.2
14.0,-1.6
4.0,-0.3
0.0,0.3
