# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-27T11:45
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Depth (cm),Temperature (deg C)
266.0,0.0
260.0,-4.0
250.0,-4.9
240.0,-4.4
230.0,-2.3
220.0,-2.0
210.0,-1.5
200.0,-0.9
190.0,-0.7
180.0,-0.4
170.0,-0.2
160.0,-0.2
150.0,-0.2
140.0,-0.1
130.0,-0.1
120.0,-0.1
110.0,-0.1
100.0,-0.1
90.0,-0.1
80.0,0.0
70.0,0.0
60.0,0.0
50.0,0.0
40.0,0.0
30.0,0.0
20.0,0.0
10.0,0.0
0.0,0.0
