# Location,Sagehen
# Site,Forest
# PitID,CASHFO
# Date/Local Time,2020-01-29T10:53
# UTM Zone,10N
# Easting (m),737378
# Northing (m),4368076
# Latitude (deg),39.42955
# Longitude (deg),-120.24211
# Slope (deg),3
# Aspect (deg),0
# Air Temp (deg C),2.9
# Total Depth (cm),34
# Surveyors,"A. Greenwald, L. Bolotin, L. Katz"
# WISe Serial No,WIS010A
# Weather,"mostly sunny, morning clouds dispersed quickly"
# Precip,None
# Sky,Scattered (1/4 - 1/2 of sky)
# Wind,Calm
# Ground Condition,Moist
# Ground Roughness,Rough
# Ground Vegetation,"Grass,Deadfall"
# Vegetation Depth,
# Tree Canopy,Open (20-70%)
# Comments:,pine needles and ice layers throughout profile
