# Location,CB
# Site,Aspen
# PitID,3
# Date/Local Time,2020-04-27T10:15
# UTM Zone,13N
# Easting (m),329129
# Northing (m),4310333
# Latitude (deg),38.92529
# Longitude (deg),-106.97114
# Slope (deg),0
# Aspect (deg),36
# Air Temp (deg C),5
# Total Depth (cm),90
# Surveyors,IH
# Weather,nan
# Precip,None
# Sky,Clear
# Wind,Calm
# Ground Condition,Saturated
# Ground Roughness,Smooth
# Ground Vegetation,Grass
# Vegetation Depth,30
# Tree Canopy,Open (20-70%)
# Comments:,Elev: 9968'
